CompanyName,Year,Climate Change,Sustainability,Carbon Neutral,Net Zero Commitment,Operational Waste,Waste Management,Waste Water Stewardship,Carbon Emissions,Carbon Footprint,Energy Efficiency,Data Center Efficiency,Environmental Management,Environment health safety,Social Environmental Justice,Internet Access,Philanthropy,Donation,Work Engagement,Employee Engagement,Accessibility,Employee Relations,Talent Development,Community Engagement,Public Policy Advocacy,Diversity,Equity,Inclusion,Data Privacy,Data Security,Human Rights,False Information,Workforce Development,Education,Wellness,Wellbeing,Mental Health,Healthcare Support,Disaster Relief,Innovation,Entrepreneurship,Supplier Engagement,Responsible Sourcing,Tax Practices,Stakeholder Engagement,Transparent Report,Competitive Behavior,Small Business Support,Responsible Design,Artificial Intelligence Research,Artificial Intelligence Ethics,Artificial Intelligence,Machine Learning,Content Governance,Trust Integrity,Governance Ethics,Corporate Governance
IRE,2018,0.01505889189380973,0.022389141213083493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007529445946904865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0031984487447262134,0.006396897489452427,0.0,0.0,0.0,0.01505889189380973,0.0,0.0,0.0,0.0,0.022389141213083493,0.0,0.0,0.0,0.006396897489452427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022588337840714595,0.01505889189380973,0.0,0.0,0.01505889189380973,0.07529445946904866
ISD,2018,0.009713775060676494,0.08093618042596727,0.0,0.0,0.0,0.009713775060676494,0.0,0.0,0.0,0.009713775060676494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01942755012135299,0.0,0.0,0.0,0.048568875303382476,0.0,0.010117022553245909,0.0,0.010117022553245909,0.0,0.0,0.05828265036405897,0.0,0.0,0.0,0.0,0.010117022553245909,0.009713775060676494,0.0,0.0,0.015175533829868864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06799642542473547
SGT,2018,0.10993180187498108,0.15557159458397973,0.0,0.0,0.0,0.030780904524994702,0.0,0.03517817659999394,0.030780904524994702,0.008794544149998485,0.0,0.004397272074999243,0.0,0.0,0.0,0.0018089720300462759,0.0,0.0,0.0,0.0,0.0,0.0,0.004397272074999243,0.0,0.023516636390601586,0.0,0.03979738466101807,0.008794544149998485,0.0,0.004397272074999243,0.0,0.0,0.0018089720300462759,0.03979738466101807,0.03437046857087924,0.0,0.0,0.0,0.037988412630971795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026383632449995458,0.0,0.0,0.0,0.0,0.013191816224997729
Acer,2018,0.03552149209871007,0.10067358015170996,0.0,0.0,0.0,0.006765998494992394,0.0,0.009303247930614541,0.0016914996237480985,0.0,0.0,0.0076117483068664435,0.004166594330587451,0.0,0.0,0.003956603586748426,0.0008792452414996503,0.0,0.005074498871244296,0.00043962262074982516,0.0016914996237480985,0.0,0.003382999247496197,0.0,0.004396226207498252,0.0008792452414996503,0.0061547166904975525,0.0,0.0,0.07696323288053848,0.0,0.0,0.0,0.0017584904829993006,0.0013188678622494754,0.0008457498118740492,0.0,0.0,0.01538679172624388,0.00043962262074982516,0.0008457498118740492,0.005074498871244296,0.0,0.0008457498118740492,0.0,0.0,0.0,0.0,0.0010416485826468627,0.0,0.020297995484977183,0.0008457498118740492,0.0,0.0,0.002537249435622148,0.20044270541414969
Huawei,2018,0.008432357336126474,0.13716940129049005,0.0,0.0,0.0,0.0,0.0,0.05621571557417649,0.005621571557417649,0.03654021512321472,0.0,0.0,0.3987511408394423,0.0,0.005621571557417649,0.0,0.0,0.0,0.0,0.0,0.0,0.0028107857787088245,0.0028107857787088245,0.0,0.004286543790327814,0.0,0.03429235032262251,0.0,0.005621571557417649,0.022486286229670596,0.0,0.0,0.0,0.0,0.0,0.014053928893544123,0.0,0.0,0.020361083004057114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16583636094382065,0.0028107857787088245,0.0,0.0,0.0,0.0028107857787088245
Adva,2018,0.01813369101384187,0.2365790327697905,0.004533422753460467,0.0,0.0,0.0,0.0,0.04533422753460467,0.0068001341301907004,0.05666778441825584,0.0,0.024933825144032567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004533422753460467,0.0,0.0036584386510792348,0.0,0.0,0.0,0.004533422753460467,0.027200536520762802,0.0,0.0,0.0,0.0,0.0024389591007194897,0.0,0.0,0.0,0.009755836402877959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Barco,2018,0.020380330143387256,0.3044155810741501,0.0,0.0,0.0,0.0,0.0,0.010190165071693628,0.06114099043016177,0.056045907894314954,0.0,0.0,0.05195601082049142,0.0,0.0,0.0,0.0,0.0,0.056045907894314954,0.0022888389554447377,0.0,0.0,0.030570495215080883,0.0,0.018310711643557902,0.01144419477722369,0.013733033732668426,0.0,0.0,0.030570495215080883,0.0,0.0,0.0,0.0,0.013733033732668426,0.0,0.0,0.0,0.02059955059900264,0.006866516866334213,0.0,0.005095082535846814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010190165071693628,0.0,0.0,0.0,0.0,0.005095082535846814
Bechtle,2018,0.0,0.16766475069825182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06610837705575694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0032243221288125352,0.0,0.0,0.0,0.004722026932554067,0.061386350123202864,0.0,0.0,0.0032243221288125352,0.0,0.0,0.004722026932554067,0.0,0.0,0.0016121610644062676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05194229625809473,0.0,0.0,0.0,0.0,0.070830403988311
Bosch,2018,0.04897409328328579,0.1315930592289064,0.004452190298480527,0.0,0.0,0.035617522387844214,0.0,0.0,0.02003485634316237,0.09126990111885079,0.0,0.015582666044681842,0.09112261317578146,0.0,0.0,0.0,0.0015481536379871343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010062998646916373,0.0,0.0007740768189935671,0.0,0.0022260951492402634,0.031165332089363684,0.0,0.0,0.0,0.0,0.0007740768189935671,0.008904380596961053,0.0,0.0,0.017803766836852045,0.0,0.0,0.0022260951492402634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06900894962644816,0.004452190298480527,0.0,0.0,0.0,0.022260951492402634
EskerSa,2018,0.010572691328259186,0.0,0.010572691328259186,0.0,0.0,0.05286345664129593,0.0,0.0,0.010572691328259186,0.02114538265651837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00508020173678441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02114538265651837,0.0,0.0,0.0,0.0,0.0
