CompanyName,Year,Climate Change,Sustainability,Carbon Neutral,Net Zero Commitment,Operational Waste,Waste Management,Waste Water Stewardship,Carbon Emissions,Carbon Footprint,Energy Efficiency,Data Center Efficiency,Environmental Management,Environment health safety,Social Environmental Justice,Internet Access,Philanthropy,Donation,Work Engagement,Employee Engagement,Accessibility,Employee Relations,Talent Development,Community Engagement,Public Policy Advocacy,Diversity,Equity,Inclusion,Data Privacy,Data Security,Human Rights,False Information,Workforce Development,Education,Wellness,Wellbeing,Mental Health,Healthcare Support,Disaster Relief,Innovation,Entrepreneurship,Supplier Engagement,Responsible Sourcing,Tax Practices,Stakeholder Engagement,Transparent Report,Competitive Behavior,Small Business Support,Responsible Design,Artificial Intelligence Research,Artificial Intelligence Ethics,Artificial Intelligence,Machine Learning,Content Governance,Trust Integrity,Governance Ethics,Corporate Governance
CNU,2022,0.06621951867525958,0.14214184305768365,0.004414634578350639,0.0,0.0,0.0,0.0,0.02648780747010383,0.0,0.008829269156701278,0.0,0.004414634578350639,0.005616382392865595,0.0,0.0,0.0,0.0,0.0,0.022073172891753194,0.0,0.0,0.0,0.008829269156701278,0.0,0.019741922646900507,0.03750965302911096,0.045406422087871164,0.0,0.0,0.004414634578350639,0.0,0.0,0.0,0.0019741922646900507,0.04145803755849106,0.03090244204845447,0.0,0.0,0.011845153588140304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03531707662680511,0.0,0.0,0.0,0.0,0.004414634578350639
CRZ,2022,0.00980126529956624,0.1511037004998896,0.015682024479305983,0.0,0.0,0.003920506119826496,0.0,0.011761518359479486,0.0,0.001960253059913248,0.0,0.001960253059913248,0.0,0.0,0.0,0.0,0.0,0.0,0.005880759179739743,0.0,0.0,0.0,0.0,0.0,0.012884811670533222,0.011713465155030202,0.019912890763551343,0.005880759179739743,0.005880759179739743,0.005880759179739743,0.0,0.0,0.0,0.0,0.011713465155030202,0.00980126529956624,0.0,0.0,0.06910944441467819,0.0023426930310060405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33324302018525215,0.011761518359479486,0.0,0.0,0.0,0.01960253059913248
DTL,2022,0.0,0.008183467722604962,0.0,0.0,0.0,0.010832513403280236,0.0,0.0,0.010832513403280236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020458669306512405,0.0,0.028642137029117366,0.0,0.0,0.010832513403280236,0.0,0.0,0.0,0.004091733861302481,0.04910080633562977,0.10832513403280236,0.0,0.0,0.004091733861302481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04333005361312094,0.0,0.0,0.0,0.0,0.010832513403280236
TYR,2022,0.01850278895054178,0.10568356964425127,0.011101673370325069,0.0,0.0,0.0037005577901083565,0.0,0.011101673370325069,0.022203346740650137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03700557790108356,0.0,0.0,0.0,0.0,0.0,0.00370819542611408,0.00370819542611408,0.0185409771305704,0.007401115580216713,0.0,0.0,0.0,0.0,0.0,0.00370819542611408,0.01297868399139928,0.01850278895054178,0.0,0.0,0.024103270269741517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3663552212207273,0.011101673370325069,0.0,0.0,0.01850278895054178,0.022203346740650137
BangOlufsen,2022,0.030725627680575587,0.303141644709365,0.0,0.0,0.0,0.0,0.0,0.0,0.007681406920143897,0.007681406920143897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007681406920143897,0.0,0.03674444178295333,0.03674444178295333,0.032151386560084164,0.0,0.0,0.06913266228129507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018372220891476665,0.004593055222869166,0.0,0.030725627680575587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015362813840287794,0.007681406920143897,0.0,0.0,0.0,0.0
Vast-data,2022,0.0,0.02122023380264101,0.0,0.0,0.0,0.0,0.0,0.0,0.008403954823216795,0.01680790964643359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005305058450660253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40338983151440616,0.0,0.0,0.0,0.0,0.0
ITM,2022,0.00887889752956898,0.023436048165765062,0.0,0.0,0.0,0.00887889752956898,0.0,0.00887889752956898,0.04883393641262939,0.0,0.0,0.01331834629435347,0.0,0.0,0.0,0.0,0.0,0.0,0.00443944876478449,0.0,0.0,0.0,0.031076141353491432,0.0,0.009374419266306024,0.016405233716035545,0.01874883853261205,0.0,0.01331834629435347,0.03551559011827592,0.0,0.0,0.0,0.0,0.04452849151495362,0.05771283394219837,0.0,0.0,0.016405233716035545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0932284240604743
AAPL,2022,0.04176144692321836,0.0014333493003362435,0.018982475874190163,0.0,0.0,0.005694742762257048,0.0,0.017084228286771145,0.02847371381128524,0.03416845657354229,0.0,0.0037964951748380325,0.0773785535294481,0.0,0.0,0.0,0.0,0.0,0.0018982475874190162,0.026516962056220506,0.0018982475874190162,0.0,0.0,0.0,0.005733397201344974,0.04371715366025543,0.026516962056220506,0.0037964951748380325,0.0,0.13287733111933114,0.0,0.0,0.0,0.007166746501681217,0.008600095802017461,0.009491237937095082,0.0,0.0,0.017916866254203044,0.0007166746501681217,0.005694742762257048,0.007592990349676065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02088072346160918,0.018982475874190163,0.0,0.0,0.005694742762257048,0.013287733111933113
ADSK,2022,0.06370740863794648,0.04816659423486868,0.006067372251232998,0.0,0.0015168430628082494,0.0,0.0,0.02578633206774024,0.013651587565274244,0.009101058376849496,0.0,0.0015168430628082494,0.0,0.0,0.0015168430628082494,0.007474126691617553,0.0,0.0,0.009101058376849496,0.0,0.0,0.0,0.0,0.0,0.014948253383235107,0.01079596077678091,0.009135043734199232,0.0015168430628082494,0.006067372251232998,0.045505291884247484,0.0,0.0,0.0,0.005813209649035875,0.019931004510980142,0.0,0.0,0.0,0.0274051312025977,0.0008304585212908393,0.0,0.0015168430628082494,0.0,0.0,0.0,0.0015168430628082494,0.0,0.0,0.0,0.0,0.037921076570206234,0.016685273690890744,0.0,0.0,0.0,0.02426948900493199
ALYA,2022,0.0026677671994282757,0.005265248851940366,0.0,0.0,0.0,0.0,0.0,0.005335534398856551,0.013338835997141378,0.0,0.0,0.0,0.0,0.0,0.0,0.0017550829506467885,0.0,0.0,0.005335534398856551,0.0,0.0,0.0,0.0,0.0,0.005265248851940366,0.005265248851940366,0.019305912457114674,0.07202971438456345,0.0,0.0,0.0,0.0,0.0017550829506467885,0.007020331802587154,0.02457116130905504,0.0,0.0,0.0,0.007020331802587154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024009904794854483,0.0026677671994282757,0.0,0.0,0.0,0.04001650799142414
